iter	Passed	Remaining
0	44	67092
1	2883	2159762
2	2940	1467476
3	6646	2485824
4	6712	2006949
5	8004	1992999
6	8057	1718494
7	11024	2056006
8	11242	1862434
9	11448	1705817
10	12852	1739697
11	12906	1600355
12	13528	1547410
13	13761	1460642
14	13923	1378404
15	14205	1317560
16	14419	1257893
17	15909	1309870
18	15970	1244824
19	19098	1413325
20	21922	1543962
21	22173	1489642
22	25255	1621811
23	25305	1556296
24	25338	1494962
25	25491	1445173
26	25635	1398535
27	25679	1349992
28	25778	1307595
29	26278	1287652
30	26334	1247904
31	26364	1209473
32	26417	1174358
33	26489	1142160
34	26517	1109967
35	26556	1079977
36	26597	1051686
37	26638	1024871
38	29227	1094901
39	29278	1068681
40	29412	1046654
41	29460	1022685
42	29600	1002991
43	29654	981309
44	29849	965125
45	29900	945111
46	29971	926559
47	30023	908221
48	30278	896623
49	30823	893874
50	31373	891364
51	31411	874681
52	31520	860577
53	31701	848892
54	31745	834047
55	31800	820011
56	34562	874983
57	34607	860410
58	34646	846204
59	35153	843687
60	35422	835632
61	38442	891606
62	38485	877832
63	38798	870541
64	38831	857290
65	38867	844490
66	38904	832096
67	39052	822395
68	39088	810669
69	39124	799259
70	39383	792654
71	39420	781830
72	39479	771752
73	39517	761505
74	39554	751541
75	42422	794862
76	42462	784735
77	45417	828004
78	45684	821744
79	45715	811450
80	45760	801661
81	45806	792111
82	45844	782670
83	45885	773503
84	45970	765271
85	46051	757177
86	46090	748565
87	46171	740838
88	46207	732569
89	46249	724575
90	46282	716622
91	46334	709126
92	46472	703079
93	46510	695683
94	46555	688535
95	46831	684914
96	46938	678910
97	47124	674169
98	47218	668217
99	47736	668317
100	47876	663156
101	47926	656874
102	50904	690420
103	51058	685359
104	51140	679438
105	51184	673130
106	51235	667022
107	54280	699611
108	54814	699510
109	54847	693073
110	55112	689649
111	55158	683569
112	55205	677610
113	55250	671727
114	55401	667231
115	58366	696367
116	58410	690443
117	58713	687641
118	59062	685417
119	59124	679933
120	60489	689381
121	60535	683750
122	60793	680594
123	60893	675718
124	60939	670331
125	61036	665590
126	61093	660480
127	62586	670847
128	62631	665642
129	62893	662802
130	62930	657644
131	66034	684358
132	66097	679359
133	68786	701206
134	68825	695905
135	69294	694986
136	69428	690741
137	69479	685731
138	69516	680657
139	72159	700979
140	72199	695879
141	72366	692065
142	72430	687328
143	72707	684663
144	72858	680852
145	72935	676401
146	72973	671656
147	73021	667059
148	73054	662389
149	74387	669489
150	74461	665226
151	74498	660683
152	77228	679917
153	77280	675452
154	77325	670989
155	77422	667022
156	77472	662706
157	77512	658367
158	77555	654104
159	77890	652331
160	78549	653277
161	78590	649099
162	78658	645189
163	81549	664326
164	84285	681944
165	84326	677661
166	84364	673401
167	84494	669922
168	85030	669675
169	85178	666394
170	86430	671730
171	86585	668518
172	86829	666029
173	86862	661950
174	86932	658201
175	89710	674868
176	89746	670813
177	90232	670153
178	92983	686210
179	93487	685573
180	93527	681562
181	93578	677674
182	93619	673755
183	93856	671280
184	96366	684986
185	96867	684324
186	96999	681072
187	97053	677312
188	97093	673488
189	97351	671211
190	97432	667746
191	97498	664210
192	97752	661981
193	97816	658493
194	97972	655659
195	98014	652097
196	98056	648563
197	98102	645099
198	98151	641684
199	98435	639830
200	98938	639410
201	98969	635952
202	101603	649160
203	102111	648706
204	102184	645509
205	102255	642322
206	102310	639067
207	102358	635805
208	105055	648930
209	107864	662594
210	107907	659206
211	107942	655803
212	109228	659984
213	112228	674422
214	112296	671165
215	115075	684057
216	118281	699330
217	118368	696091
218	118950	695778
219	120273	699773
220	120871	699522
221	120968	696387
222	121042	693144
223	121547	692387
224	121624	689203
225	121867	686989
226	121898	683597
227	121932	680253
228	121964	676930
229	122035	673847
230	122085	670677
231	122118	667438
232	125038	679928
233	125328	678059
234	128531	691881
235	128578	688657
236	128734	686039
237	130051	689599
238	132928	701350
239	132964	698064
240	132998	694791
241	135513	704448
242	136707	707167
243	139659	718903
244	139702	715617
245	139739	712331
246	139783	709106
247	141051	712083
248	141083	708815
249	141213	706068
250	141242	702836
251	141489	700710
252	141558	697721
253	141586	694556
254	141660	691634
255	143018	694980
256	143108	692153
257	143184	689284
258	143223	686256
259	143273	683304
260	146520	695553
261	146673	693061
262	147919	695725
263	148091	693337
264	148157	690469
265	148463	688736
266	148994	688054
267	149036	685121
268	152594	698303
269	155802	709766
270	155832	706707
271	159277	719091
272	162239	729188
273	162279	726112
274	165310	736384
275	165454	733752
276	166712	736062
277	169552	745297
278	172546	755123
279	172605	752066
280	172697	749177
281	175462	757849
282	175668	755437
283	175798	752716
284	175956	750129
285	179092	760205
286	179131	757097
287	179169	754003
288	181976	762539
289	182024	759483
290	184998	768602
291	187808	776962
292	190883	786334
293	193753	794784
294	196615	803122
295	196648	799879
296	197834	801329
297	200375	808224
298	200626	805860
299	203181	812724
300	203214	809482
301	203463	807117
302	206197	814581
303	206733	813333
304	209467	820699
305	211990	827178
306	212024	823925
307	213324	825594
308	215875	832062
309	215915	828838
310	216025	825896
311	216114	822898
312	216687	821751
313	216833	818994
314	216976	816243
315	218199	817558
316	218228	814399
317	221040	821604
318	221202	818934
319	221238	815815
320	224136	823229
321	224180	820137
322	224315	817396
323	227176	824567
324	230024	831625
325	230599	830440
326	230662	827422
327	233317	833681
328	233577	831364
329	233648	828391
330	236259	834402
331	239101	841176
332	241870	847637
333	241904	844493
334	244575	850539
335	247551	857590
336	248934	859081
337	249239	856853
338	252132	863499
339	252170	860346
340	252210	857218
341	252289	854243
342	252835	852857
343	253122	850608
344	255910	856742
345	258700	862834
346	258866	860153
347	259439	858834
348	259574	856074
349	259606	852993
350	262329	858737
351	262384	855730
352	265339	862165
353	265372	859087
354	268407	865707
355	268564	863026
356	268602	859979
357	271369	865653
358	274022	870918
359	275265	871673
360	275320	868670
361	278027	874020
362	278169	871290
363	280926	876738
364	281062	873987
365	284021	880001
366	284060	876948
367	287013	882877
368	290001	888867
369	292893	894511
370	292922	891401
371	295393	895708
372	298182	900941
373	301128	906607
374	301274	903824
375	301324	900768
376	301857	899168
377	303112	899716
378	305711	904228
379	308374	908893
380	308520	906128
381	311383	911325
382	311418	908236
383	311454	905163
384	311487	902099
385	311625	899353
386	311675	896370
387	311705	893340
388	311779	890456
389	314783	895921
390	314815	892916
391	314868	889984
392	315362	888311
393	315639	886032
394	318282	890383
395	321313	895783
396	321377	892896
397	321465	890087
398	321779	887917
399	321814	884989
400	324762	890059
401	324799	887138
402	325409	885791
403	325439	882874
404	325489	880025
405	328006	883838
406	328199	881380
407	331077	886120
408	331632	884623
409	334246	888606
410	337125	893260
411	338503	893911
412	341291	898264
413	343916	902159
414	343949	899240
415	346969	904123
416	349949	908860
417	352879	913435
418	355651	917563
419	358510	921883
420	358611	919102
421	361433	923283
422	362992	924213
423	363831	923307
424	366822	927844
425	369864	932475
426	369916	929555
427	372587	933209
428	375744	938048
429	379037	943185
430	379302	940776
431	382278	945077
432	382355	942202
433	383727	942519
434	386567	946423
435	389523	950581
436	389581	947654
437	392634	952003
438	395478	955815
439	395730	953350
440	398562	957091
441	399177	955497
442	402233	959732
443	402281	956778
444	402382	953962
445	405124	957401
446	408313	961864
447	411197	965578
448	411262	962666
449	414433	967012
450	414523	964156
451	417704	968482
452	420844	972680
453	423869	976580
454	427117	980961
455	428891	981935
456	432676	987486
457	436323	992683
458	436606	990211
459	436647	987203
460	437208	985377
461	440184	988985
462	440230	986003
463	443276	989729
464	446388	993573
465	446642	991046
466	446880	988495
467	447131	985982
468	447166	983002
469	447197	980028
470	447245	977102
471	450361	980871
472	450398	977926
473	450434	974991
474	453273	978117
475	453325	975222
476	456511	979059
477	456596	976237
478	457930	976090
479	458514	974343
480	459118	972643
481	462150	976077
482	465064	979235
483	465612	977401
484	465871	974968
485	468681	977865
486	471547	980856
487	471614	978019
488	471653	975137
489	474587	978232
490	477661	981589
491	479036	981440
492	481729	983978
493	484689	987039
494	484739	984168
495	487523	986841
496	488045	984928
497	488181	982245
498	490978	984908
499	492173	984347
500	494723	986485
501	494780	983646
502	497337	985776
503	500525	989133
504	503157	991369
505	503634	989352
506	506545	992110
507	509308	994554
508	509349	991681
509	512036	993953
510	512071	991073
511	514779	993363
512	514918	990691
513	515005	987929
514	518078	990887
515	518109	988022
516	521175	990938
517	521235	988134
518	521288	985325
519	524046	987626
520	526829	989954
521	530378	993696
522	533684	996960
523	533968	994566
524	534006	991726
525	535538	991662
526	538583	994386
527	538957	992172
528	539187	989699
529	539307	987033
530	539412	984352
531	539535	981711
532	541159	981804
533	544798	985533
534	544829	982729
535	544865	979943
536	548689	983961
537	548793	981300
538	548956	978751
539	549003	976006
540	552140	978747
541	552172	975980
542	552224	973258
543	555071	975456
544	555150	972786
545	555184	970047
546	555268	967405
547	558058	969474
548	561719	973032
549	561830	970435
550	561946	967853
551	565496	971178
552	565601	968580
553	568802	971275
554	571771	973557
555	571805	970834
556	571865	968168
557	572007	965647
558	572048	962965
559	572133	960366
560	572677	958546
561	575844	961106
562	578877	963425
563	581639	965274
564	581676	962597
565	581715	959932
566	584781	962258
567	588202	965148
568	588383	962716
569	588500	960185
570	591565	962460
571	591600	959798
572	594780	962235
573	594865	959661
574	594930	957061
575	598540	960158
576	598704	957718
577	602117	960470
578	602186	957882
579	605268	960081
580	608319	962212
581	608433	959693
582	609120	958084
583	609156	955458
584	609750	953712
585	609789	951105
586	609823	948499
587	610310	946603
588	610344	944013
589	610385	941442
590	613867	944172
591	613944	941657
592	619200	947073
593	622705	949783
594	626158	952391
595	627561	951871
596	630757	954060
597	631392	952368
598	631639	950095
599	634831	952247
600	637973	954306
